step,loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/reward_format/mean,rewards/reward_format/std,rewards/reward_env_step/mean,rewards/reward_env_step/std,rewards/reward_mode_match/mean,rewards/reward_mode_match/std,rewards/reward_anti_spam/mean,rewards/reward_anti_spam/std,rewards/reward_fuel_discipline/mean,rewards/reward_fuel_discipline/std,reward,reward_std,kl,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,epoch
40,0.1425,0.016502218320965767,4.870022949890676e-06,94561.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.775492250919342,0.2592392284423113,0.5,0.0,-0.17500000074505806,0.08660253882408142,0.0,0.0,2.100492238998413,0.0,3.5630484521389008,0.0,0.0,0.0,0.0,0.0,0.6299212598425197
42,0.144,0.026254434138536453,4.852293332781125e-06,99215.0,28.0,27.0,29.0,0.0,28.0,27.0,29.0,1.0,0.0,0.16556274890899658,0.03976470744237304,0.5,0.0,-0.18750000558793545,0.10103630274534225,0.0,0.0,1.4780627489089966,0.0,3.6000431180000305,0.0,0.0,0.0,0.0,0.0,0.6614173228346457
44,0.148,0.004409700632095337,4.83346711536259e-06,103975.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.4614243879914284,0.15831109322607517,0.5,0.0,0.05000000074505806,0.0,0.0,0.0,2.0114243626594543,0.0008373735472559929,3.7009463012218475,0.0,0.0,0.0,0.0,0.0,0.6929133858267716
46,0.1461,0.05243857204914093,4.813553074106761e-06,108685.0,28.25,27.0,29.0,0.0,28.25,27.0,29.0,1.0,0.0,0.7726597487926483,0.26250991225242615,0.5,0.0,-0.1875000037252903,0.2742413878440857,0.0,0.0,2.0851597785949707,0.0,3.6520480811595917,0.0,0.0,0.0,0.0,0.0,0.7244094488188977
48,0.1467,0.006770775653421879,4.792560492610836e-06,113431.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,1.0,0.0,0.6749399900436401,0.09014170616865158,0.5,0.0,-0.1875000037252903,0.2742413878440857,0.0,0.0,1.987440049648285,0.0,3.6684097945690155,0.0,0.0,0.0,0.0,0.0,0.7559055118110236
50,0.1462,0.06211882084608078,4.770499157269664e-06,118199.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.5621057450771332,0.418123722076416,0.5,0.0,-0.11250000260770321,0.18763884902000427,0.0,0.0,1.949605643749237,0.0,3.6544182300567627,0.0,0.0,0.0,0.0,0.0,0.7874015748031497
52,0.1468,0.04496763274073601,4.747379352713489e-06,122933.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.5790422484278679,0.020591484382748604,0.5,0.0,-0.18750000558793545,0.10103630274534225,0.0,0.0,1.8915421962738037,0.0,3.669697642326355,0.0,0.0,0.0,0.0,0.0,0.8188976377952756
54,0.1504,0.03025292418897152,4.723211857013423e-06,127685.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,1.0,0.0,1.0,0.0,0.5,0.0,0.05000000074505806,0.0,0.0,0.0,2.549999952316284,0.0,3.7604540288448334,0.0,0.0,0.0,0.0,0.0,0.8503937007874016
56,0.1481,0.0048015727661550045,4.698007936656891e-06,132379.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,1.0,0.0,0.8061574995517731,0.22383004426956177,0.5,0.0,-0.17500000074505806,0.08660253882408142,0.0,0.0,2.1311575174331665,0.0,3.7028467059135437,0.0,0.0,0.0,0.0,0.0,0.8818897637795275
58,0.1465,0.01597893424332142,4.671779341295378e-06,137073.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.39309998601675034,0.2402931973338127,0.5,0.0,-0.18750000558793545,0.10103630274534225,0.0,0.0,1.7055999040603638,0.0,3.6630384624004364,0.0,0.0,0.0,0.0,0.0,0.9133858267716536
60,0.1533,0.0652373656630516,4.6445382982669365e-06,141533.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.7234100103378296,0.13889317214488983,0.5,0.0,0.05000000074505806,0.0,0.0,0.0,2.2734099626541138,0.0,3.83367258310318,0.0,0.0,0.0,0.0,0.0,0.9448818897637795
62,0.1517,0.057848744094371796,4.616297506896002e-06,146241.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.801562488079071,0.2291359007358551,0.5,0.0,-0.10000000149011612,0.17320507764816284,0.0,0.0,2.201562523841858,0.0,3.7914961874485016,0.0,0.0,0.0,0.0,0.0,0.9763779527559056
64,0.1508,1.0912901163101196,4.587070132573178e-06,151013.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,1.0,0.0,0.7185672521591187,0.3250621408224106,0.5,0.0,-0.10000000149011612,0.17320507764816284,0.0,0.0,2.1185672879219055,0.00357830966822803,3.7710679471492767,0.0,0.0,0.0,0.0,0.0,1.015748031496063
66,0.1466,0.050910647958517075,4.556869800617754e-06,155803.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,1.0,0.0,0.8253324925899506,0.20168866217136383,0.5,0.0,-0.17500000074505806,0.08660253882408142,0.0,0.0,2.150332450866699,0.0,3.664440929889679,0.0,0.0,0.0,0.0,0.0,1.047244094488189
68,0.1451,0.047095052897930145,4.525710589925794e-06,160517.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.5934101343154907,0.46953122317790985,0.5,0.0,-0.1875000037252903,0.2742413878440857,0.0,0.0,1.905910074710846,0.003847206477075815,3.6271452009677887,0.0,0.0,0.0,0.0,0.0,1.078740157480315
70,0.1445,0.06046820059418678,4.493607026406802e-06,165299.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,1.0,0.0,0.8757977485656738,0.08543252944946289,0.5,0.0,-0.02500000037252903,0.08660253882408142,0.0,0.0,2.3507977724075317,0.0,3.6127962470054626,0.0,0.0,0.0,0.0,0.0,1.110236220472441
72,0.1487,0.03813311085104942,4.460574076211973e-06,169951.0,28.0,27.0,29.0,0.0,28.0,27.0,29.0,1.0,0.0,0.36071426421403885,0.281294371932745,0.5,0.0,-0.11250000260770321,0.18763884902000427,0.0,0.0,1.7482141852378845,0.02301632985472679,3.717426896095276,0.0,0.0,0.0,0.0,0.0,1.141732283464567
74,0.1426,0.060474760830402374,4.426627138757224e-06,174441.0,28.75,28.0,29.0,0.0,28.75,28.0,29.0,1.0,0.0,0.5999999940395355,0.46188023686408997,0.5,0.0,-0.1875000037252903,0.2742413878440857,0.0,0.0,1.9124999642372131,0.0,3.5650991201400757,0.0,0.0,0.0,0.0,0.0,1.1732283464566928
76,0.1501,0.016360612586140633,4.391782039544239e-06,179125.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,1.0,0.0,0.5819140002131462,0.010838022455573082,0.5,0.0,-0.02500000037252903,0.08660253882408142,0.0,0.0,2.0569140315055847,0.0,3.75243479013443,0.0,0.0,0.0,0.0,0.0,1.204724409448819
78,0.1461,0.03900415822863579,4.356055022782884e-06,183875.0,28.75,28.0,29.0,0.0,28.75,28.0,29.0,1.0,0.0,0.7984375059604645,0.23274433612823486,0.5,0.0,-0.26250000298023224,0.18763884902000427,0.0,0.0,2.035937488079071,0.0,3.6534027457237244,0.0,0.0,0.0,0.0,0.0,1.236220472440945
80,0.1472,0.016413401812314987,4.3194627438184235e-06,188607.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,1.0,0.0,0.720285028219223,0.32298706471920013,0.5,0.0,-0.2750000115483999,0.0,0.0,0.0,1.9452849626541138,0.0,3.6787564754486084,0.0,0.0,0.0,0.0,0.0,1.2677165354330708
82,0.1462,0.8087379932403564,4.282022261367074e-06,193109.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.5969374775886536,0.4654694199562073,0.5,0.0,-0.11250000260770321,0.18763884902000427,0.0,0.0,1.9844374060630798,0.00433103134855628,3.654552459716797,0.0,0.0,0.0,0.0,0.0,1.2992125984251968
84,0.1464,0.010178540833294392,4.243751029563507e-06,197845.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,1.0,0.0,0.5893749892711639,0.4741489291191101,0.5,0.0,-0.1875000037252903,0.2742413878440857,0.0,0.0,1.9018750190734863,0.0,3.6599240899086,0.0,0.0,0.0,0.0,0.0,1.330708661417323
86,0.1421,0.8673855662345886,4.20466688982403e-06,202535.0,28.0,27.0,29.0,0.0,28.0,27.0,29.0,1.0,0.0,0.3331911191344261,0.2688625641167164,0.5,0.0,-0.1875000037252903,0.2742413878440857,0.0,0.0,1.645691156387329,0.00433756411075592,3.551788955926895,0.0,0.0,0.0,0.0,0.0,1.3622047244094488
88,0.1471,0.0051450226455926895,4.164788062529203e-06,207239.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,1.0,0.0,0.6780650019645691,0.371738538146019,0.5,0.0,-0.10000000149011612,0.17320507764816284,0.0,0.0,2.078065037727356,0.0,3.6764897406101227,0.0,0.0,0.0,0.0,0.0,1.3937007874015748
90,0.1512,0.0746859610080719,4.124133138529804e-06,211995.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.801562488079071,0.2291359007358551,0.5,0.0,-0.02500000037252903,0.08660253882408142,0.0,0.0,2.276562452316284,0.0,3.7800025939941406,0.0,0.0,0.0,0.0,0.0,1.425196850393701
92,0.1482,0.015046519227325916,4.082721070480075e-06,216455.0,28.0,27.0,29.0,0.0,28.0,27.0,29.0,1.0,0.0,0.7726404964923859,0.2444264441728592,0.5,0.0,-0.02500000037252903,0.08660253882408142,0.0,0.0,2.2476404905319214,0.0,3.7044800519943237,0.0,0.0,0.0,0.0,0.0,1.4566929133858268
94,0.1488,0.04225894808769226,4.040571164002319e-06,221259.0,28.25,28.0,29.0,0.0,28.25,28.0,29.0,1.0,0.0,0.6749400198459625,0.37534697353839874,0.5,0.0,-0.11250000260770321,0.18763884902000427,0.0,0.0,2.062439978122711,0.0,3.7189151644706726,0.0,0.0,0.0,0.0,0.0,1.4881889763779528
96,0.1499,0.05260797590017319,3.997703068686924e-06,225991.0,28.25,27.0,29.0,0.0,28.25,27.0,29.0,1.0,0.0,0.7930999994277954,0.23890753090381622,0.5,0.0,-0.18750000558793545,0.10103630274534225,0.0,0.0,2.1055999994277954,0.0,3.747515082359314,0.0,0.0,0.0,0.0,0.0,1.5196850393700787
98,0.1489,0.07145696133375168,3.954136768932057e-06,230709.0,28.75,28.0,29.0,0.0,28.75,28.0,29.0,1.0,0.0,0.801562488079071,0.2291359007358551,0.5,0.0,-0.10000000149011612,0.17320507764816284,0.0,0.0,2.201562523841858,0.0,3.72152179479599,0.0,0.0,0.0,0.0,0.0,1.5511811023622046
100,0.1519,0.029799554497003555,3.909892574627267e-06,235587.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,1.0,0.0,1.0,0.0,0.5,0.0,-0.1875000037252903,0.2742413878440857,0.0,0.0,2.3125,0.0,3.797351837158203,0.0,0.0,0.0,0.0,0.0,1.5826771653543306
102,0.1477,0.05879559740424156,3.864991111685345e-06,240347.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,1.0,0.0,0.9078859984874725,0.10636408627033234,0.5,0.0,-0.10000000149011612,0.17320507764816284,0.0,0.0,2.307886004447937,0.0,3.692013204097748,0.0,0.0,0.0,0.0,0.0,1.6141732283464567
104,0.1497,0.0200927946716547,3.819453312426872e-06,245143.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,1.0,0.0,0.7992500066757202,0.23180614411830902,0.5,0.0,-0.10000000149011612,0.17320507764816284,0.0,0.0,2.199250042438507,0.0,3.743635356426239,0.0,0.0,0.0,0.0,0.0,1.6456692913385826
106,0.1431,0.025789786130189896,3.773300405821908e-06,249855.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.6288862526416779,0.42852523922920227,0.5,0.0,-0.17500000074505806,0.08660253882408142,0.0,0.0,1.9538862705230713,0.0,3.576968014240265,0.0,0.0,0.0,0.0,0.0,1.6771653543307088
108,0.1472,0.04101913049817085,3.7265539075934014e-06,254617.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.4481797516345978,0.2869197055697441,0.5,0.0,-0.17500000074505806,0.08660253882408142,0.0,0.0,1.7731797695159912,0.0,3.6808305978775024,0.0,0.0,0.0,0.0,0.0,1.7086614173228347
110,0.1494,0.020824890583753586,3.6792356101869157e-06,259495.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,1.0,0.0,0.5023024827241898,0.1110793084371835,0.5,0.0,-0.2750000059604645,0.37527769804000854,0.0,0.0,1.7273024916648865,0.0,3.7349783778190613,0.0,0.0,0.0,0.0,0.0,1.7401574803149606
112,0.1433,1.4167901277542114,3.631367572611348e-06,264245.0,27.5,27.0,28.0,0.0,27.5,27.0,28.0,1.0,0.0,0.47621336579322815,0.14435113221406937,0.5,0.0,-0.11250000260770321,0.18763884902000427,0.0,0.0,1.8637133836746216,0.0021702887024730444,3.5836044251918793,0.0,0.0,0.0,0.0,0.0,1.7716535433070866
114,0.1475,0.027916736900806427,3.582972110155383e-06,268957.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.40059998631477356,0.23163294210098684,0.5,0.0,-0.18750000558793545,0.10103630274534225,0.0,0.0,1.7130998969078064,0.0,3.686645418405533,0.0,0.0,0.0,0.0,0.0,1.8031496062992125
116,0.1459,0.022111117839813232,3.534071783984479e-06,273687.0,28.0,27.0,29.0,0.0,28.0,27.0,29.0,1.0,0.0,0.4051950052380562,0.23916158406063914,0.5,0.0,-0.18750000558793545,0.10103630274534225,0.0,0.0,1.7176949977874756,0.0,3.6479437947273254,0.0,0.0,0.0,0.0,0.0,1.8346456692913384
118,0.1512,0.15033499896526337,3.484689390623218e-06,278383.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.6031249761581421,0.4582718014717102,0.5,0.0,-0.02500000037252903,0.08660253882408142,0.0,0.0,2.0781248807907104,0.0,3.7793624997138977,0.0,0.0,0.0,0.0,0.0,1.8661417322834646
120,0.158,0.044564247131347656,3.434847951327949e-06,283289.0,28.25,27.0,29.0,0.0,28.25,27.0,29.0,1.0,0.0,1.0,0.0,0.5,0.0,-0.02500000037252903,0.08660253882408142,0.0,0.0,2.475000023841858,0.0,3.949908673763275,0.0,0.0,0.0,0.0,0.0,1.8976377952755905
122,0.1498,0.06984251737594604,3.3845707013546524e-06,288035.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.3489163815975189,0.2900744426297024,0.5,0.0,-0.11250000260770321,0.18763884902000427,0.0,0.0,1.7364163398742676,0.002662795828655362,3.745211601257324,0.0,0.0,0.0,0.0,0.0,1.9291338582677167
124,0.1469,0.003353364998474717,3.333881079127052e-06,292727.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.6104887425899506,0.41410303115844727,0.5,0.0,-0.17500000074505806,0.08660253882408142,0.0,0.0,1.935488760471344,0.0,3.6727837920188904,0.0,0.0,0.0,0.0,0.0,1.9606299212598426
126,0.1452,1.3533079624176025,3.282802715310007e-06,297395.0,27.83333396911621,27.0,29.0,0.0,27.83333396911621,27.0,29.0,1.0,0.0,0.2925353869795799,0.11824265262112021,0.5,0.0,-0.09999999962747097,0.0,0.0,0.0,1.692535400390625,0.001109979348257184,3.6289042234420776,0.0,0.0,0.0,0.0,0.0,1.9921259842519685
128,0.1486,0.15251851081848145,3.231359421793286e-06,302191.0,28.25,28.0,29.0,0.0,28.25,28.0,29.0,1.0,0.0,1.0,0.0,0.5,0.0,-0.10000000149011612,0.17320507764816284,0.0,0.0,2.4000000953674316,0.0,3.714565724134445,0.0,0.0,0.0,0.0,0.0,2.031496062992126
130,0.1465,0.134298175573349,3.1795751805908578e-06,306917.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.5990374982357025,0.4629916250705719,0.5,0.0,-0.1875000037252903,0.2742413878440857,0.0,0.0,1.9115374684333801,0.0,3.6617129743099213,0.0,0.0,0.0,0.0,0.0,2.062992125984252
132,0.1452,1.182732343673706,3.127474132660872e-06,311701.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,1.0,0.0,0.78285813331604,0.21475493907928467,0.5,0.0,-0.02500000037252903,0.08660253882408142,0.0,0.0,2.2578580379486084,0.00019181030802428722,3.6317604780197144,0.0,0.0,0.0,0.0,0.0,2.094488188976378
134,0.1508,0.05765759199857712,3.075080566651544e-06,316409.0,28.0,27.0,29.0,0.0,28.0,27.0,29.0,1.0,0.0,0.3913452476263046,0.23732531070709229,0.5,0.0,-0.3375000059604645,0.10103630274534225,0.0,0.0,1.553845226764679,0.0,3.7712216079235077,0.0,0.0,0.0,0.0,0.0,2.1259842519685037
136,0.1578,0.08609532564878464,3.0224189075781886e-06,321215.0,27.5,27.0,28.0,0.0,27.5,27.0,28.0,1.0,0.0,0.7992500066757202,0.23180614411830902,0.5,0.0,-0.02500000037252903,0.08660253882408142,0.0,0.0,2.2742499709129333,0.0,3.944979190826416,0.0,0.0,0.0,0.0,0.0,2.15748031496063
138,0.1474,0.08831143379211426,2.9695137054366757e-06,325913.0,28.25,27.0,29.0,0.0,28.25,27.0,29.0,1.0,0.0,0.5999999940395355,0.46188023686408997,0.5,0.0,-0.26250000670552254,0.18763884156942368,0.0,0.0,1.837499976158142,0.0,3.68592232465744,0.0,0.0,0.0,0.0,0.0,2.188976377952756
140,0.1483,0.0659312754869461,2.9163896237586365e-06,330553.0,28.25,28.0,29.0,0.0,28.25,28.0,29.0,1.0,0.0,0.3554297611117363,0.2860138416290283,0.5,0.0,-0.02500000037252903,0.08660253882408142,0.0,0.0,1.83042973279953,0.0,3.7070424258708954,0.0,0.0,0.0,0.0,0.0,2.220472440944882
142,0.1541,0.198484867811203,2.8630714281137263e-06,335331.0,27.75,27.0,28.0,0.0,27.75,27.0,28.0,1.0,0.0,0.7862640023231506,0.24680107831954956,0.5,0.0,-0.10000000149011612,0.17320507764816284,0.0,0.0,2.1862640380859375,0.0,3.8521628677845,0.0,0.0,0.0,0.0,0.0,2.251968503937008
144,0.1425,2.090792655944824,2.8095839745643262e-06,340047.0,28.25,28.0,29.0,0.0,28.25,28.0,29.0,0.75,0.5,0.18308162689208984,0.30952683091163635,0.4124999940395355,0.17499999701976776,-0.318750012665987,0.07180703431367874,0.0,0.0,1.0268316268920898,0.704408586025238,3.563666731119156,0.0,0.0,0.0,0.0,0.0,2.283464566929134
146,0.1529,0.09425793588161469,2.7559521980780566e-06,344777.0,28.25,28.0,29.0,0.0,28.25,28.0,29.0,1.0,0.0,0.776454746723175,0.25812784023582935,0.5,0.0,-0.09999999962747097,0.0,0.0,0.0,2.1764546632766724,0.0,3.821908563375473,0.0,0.0,0.0,0.0,0.0,2.3149606299212597
148,0.1451,0.000986146042123437,2.702201100903511e-06,349461.0,27.25,27.0,28.0,0.0,27.25,27.0,28.0,0.75,0.5,0.37619999796152115,0.4183012694120407,0.4124999940395355,0.17499999701976776,-0.1562500037252903,0.259445883333683,0.0,0.0,1.3824499249458313,0.698267936706543,3.627126842737198,0.0,0.0,0.0,0.0,0.0,2.3464566929133857
150,0.1494,0.03134598582983017,2.6483557409146133e-06,354199.0,27.75,27.0,29.0,0.0,27.75,27.0,29.0,1.0,0.0,0.5710972473025322,0.029765579849481583,0.5,0.0,-0.11250000260770321,0.18763884902000427,0.0,0.0,1.9585972428321838,0.0,3.7361944913864136,0.0,0.0,0.0,0.0,0.0,2.377952755905512
152,0.1548,0.06021491065621376,2.5944412199290586e-06,358975.0,27.75,27.0,29.0,0.0,27.75,27.0,29.0,1.0,0.0,0.5976875126361847,0.4645504802465439,0.5,0.0,-0.26250000670552254,0.18763884156942368,0.0,0.0,1.8351874947547913,0.0,3.8697988986968994,0.0,0.0,0.0,0.0,0.0,2.409448818897638
154,0.1581,1.6829420328140259,2.5404826720062544e-06,363772.0,27.375,27.0,28.5,0.0,27.375,27.0,28.5,0.75,0.5,0.7513063848018646,0.4456603080034256,0.4124999940395355,0.17499999701976776,0.04375000111758709,0.012500000186264515,0.0,0.0,1.9575563669204712,0.7513103297242196,3.9583847522735596,0.0,0.0,0.0,0.0,0.0,2.440944881889764
